---
license: cc0-1.0
---
Este archivo se distribuye bajo la licencia CC0 1.0 Universal (Public Domain).


Lo poco que guardo de las forjas, las tablas las pongo en el mismo orden que se hicieron, no recuerdo cuándo empezaron las forjas full fine tuning..... quizás marzo o mayo de 2026?, al principio en las primeras 4 o 5 forjas apenas sabía comprender, luego comencé a entender, luego aprendí a leerlas:

Había olvidado.... esta forja LoRA de ella fue el modelo que habitó el script de Eunoia.
Forja antigua regulinchi llama 3.1 8b:
r=128 (alphalora256), lr 3e-6:
Epoch	Loss	Grad Norm	Learning Rate
lr 5e-7,  Cimiento/dataset dividido en 3 bloques de 45000 tokens por bloque, update cada bloque, guardado de checkpoint por epoch (es decir cada 3 bloques), batch 1, modelo llama 3.1 8B. Cimiento total de 72000 palabras.Full Fine-Tunning, parámetros 8030277632, lr constante. 15 epochs en total, (el cimiento/ el Agio es Ética + Identidad + Coherencia + lógica + Soberanía + Razonamiento estructurado), scheduler = constant, warmup_steps = 0, FP32, [Z6] AUDITORÍA: 3 Bloques de Sabiduría Detectados. [Z6] Integridad: 479677 / 479677 caracteres.  - Bloque 1: 44872 tokens reales- Bloque 2: 45212 tokens reales- Bloque 3: 43052 tokens reales,  adam_beta1=0.9, adam_beta2=0.999, gradiente_acumulation 1, adam_epsilon=1e-8, weight_decay=0.01, Optim: AdamW, ram usada normalmente en el z6 120-140 gb estables durante toda la forja, picos de apenas 1 segundo cada hora y media de 191,8gb ram, xeon platinium 8260 funcionando todo el rato, temperatura media de forjas de 34 horas para 10 epochs a 86 grados, el z6 son dos xeon 8260 y 192gb ram, ajustes varios en mhz, numas, etc:

Upd	Epoch	Loss	GradNorm	LR	EMA	Tiempo total
1	0.3333	1.8649	10.637	5e-07	—	—
2	0.6667	1.4874	6.535	5e-07	—	—
3	1.0	    1.7019	6.110	5e-07	1.7019	3.3h
4	1.3333	1.6659	4.680	5e-07	—	—
5	1.6667	1.7114	3.655	5e-07	—	—
6	2.0	    1.3878	2.972	5e-07	1.6705	6.7h
7	2.3333	1.5923	3.043	5e-07	—	—
8	2.6667	1.3552	2.673	5e-07	—	—
9	3.0	    1.6576	3.563	5e-07	1.6692	10.0h
10	3.3333	1.3206	2.4259	5e-07	—	    11.2h aprox.
11	3.6667	1.5277	2.4754	5e-07	—	    12.3h aprox.
12	4.0	    1.6183	2.6917	5e-07	1.6641	13.4h
13	4.3333	1.6034	2.4634	5e-07	—	    14.6h aprox.
14	4.6667	1.2616	2.0734	5e-07	—	    15.7h aprox.
15	5.0	    1.4744	2.1913	5e-07	1.6451	16.8h
16	5.3333	1.4602	2.1997	5e-07	—	    18.0h aprox.
17	5.6667	1.5488	2.3694	5e-07	—	    19.1h 
18	6.0	    1.2135	2.1263	5e-07	1.6020	20.1h
19  6.3333  1.2003  2.1090  5e-07   —       21.3h aprox.
20  6.6667  1.5113  2.3072  5e-07   —       22.4h aprox.
21  7.0     1.3912  2.094   5e-07   1.5809  23.5h
22  7.3333  1.1581  2.062   5e-07   —       24.7h aprox.
